viewId,chartType,queryStr,resolvedQueryStr,md5,svgFilename,durationReceiveData,durationTotal,heapUsed,totalDataFileSize
academic-performance?sex=both&subject=mathematics,WorldMap,,,1aee4188d207b46fd6776c08ee0f5f4e,academic-performance?sex=both&subject=mathematics_v0_850x600.svg,4,88,247575904,15010
academic-performance?sex=both&subject=reading,WorldMap,,,bda822a692a7332ec64b9c20672112c7,academic-performance?sex=both&subject=reading_v0_850x600.svg,5,81,242700712,16363
academic-performance?sex=both&subject=science,WorldMap,,,3c0557e15c6d10da730bb826cd2bbecc,academic-performance?sex=both&subject=science_v0_850x600.svg,5,92,246148232,13701
academic-performance?sex=both&subject=subject_side_by_side,LineChart,,,0d764c46913530ad81074d8fa690953c,academic-performance?sex=both&subject=subject_side_by_side_v0_850x600.svg,11,76,251963968,45074
academic-performance?sex=boys&subject=mathematics,WorldMap,,,2dfe7edc46a76ca05fe5acde2751d3cb,academic-performance?sex=boys&subject=mathematics_v0_850x600.svg,6,95,245817064,15024
academic-performance?sex=boys&subject=reading,WorldMap,,,5a343a29f651fd297dfb759ef232da4e,academic-performance?sex=boys&subject=reading_v0_850x600.svg,6,90,245336744,16404
academic-performance?sex=boys&subject=science,WorldMap,,,f048624bad8b138fac241e61b1134577,academic-performance?sex=boys&subject=science_v0_850x600.svg,2,22,265238584,13646
academic-performance?sex=boys&subject=subject_side_by_side,LineChart,,,c7b317e14775b1a064fbf8f1a9a14a30,academic-performance?sex=boys&subject=subject_side_by_side_v0_850x600.svg,3,29,253704800,45074
academic-performance?sex=girls&subject=mathematics,WorldMap,,,f85ede76c262181d37342e68dec3558b,academic-performance?sex=girls&subject=mathematics_v0_850x600.svg,3,27,182329736,15034
academic-performance?sex=girls&subject=reading,WorldMap,,,b98780ff60a15cb39131bbe873dfe0c7,academic-performance?sex=girls&subject=reading_v0_850x600.svg,2,18,281973512,16356
academic-performance?sex=girls&subject=science,WorldMap,,,21e759305a866d1d9619de98a3fab649,academic-performance?sex=girls&subject=science_v0_850x600.svg,3,27,268587184,13684
academic-performance?sex=girls&subject=subject_side_by_side,LineChart,,,0145c01579bd578388bfa1bf38fad2cb,academic-performance?sex=girls&subject=subject_side_by_side_v0_850x600.svg,3,27,252394448,45074
academic-performance?sex=sex_side_by_side&subject=mathematics,LineChart,,,447115faea851126bedc6e28156f556e,academic-performance?sex=sex_side_by_side&subject=mathematics_v0_850x600.svg,5,37,270446784,30058
academic-performance?sex=sex_side_by_side&subject=reading,LineChart,,,b8028f41fccb2e021ec79e3dbc40f59e,academic-performance?sex=sex_side_by_side&subject=reading_v0_850x600.svg,3,39,218533864,32760
academic-performance?sex=sex_side_by_side&subject=science,LineChart,,,816c69671b29119d899b0385d4fa2869,academic-performance?sex=sex_side_by_side&subject=science_v0_850x600.svg,2,25,308984448,27330
children-not-in-school?sex=both&level=level_side_by_side&metric_type=number,StackedArea,,,169dc17f0d854b9b62601d009749479c,children-not-in-school?sex=both&level=level_side_by_side&metric_type=number_v0_850x600.svg,10,74,271514280,451049
children-not-in-school?sex=both&level=level_side_by_side&metric_type=rate,LineChart,,,01b1631935ee2cbc5d32de71398c562f,children-not-in-school?sex=both&level=level_side_by_side&metric_type=rate_v0_850x600.svg,20,63,284834960,483578
children-not-in-school?sex=both&level=lower_secondary&metric_type=number,WorldMap,,,85dd65de9607232dcba1fb4917a361a8,children-not-in-school?sex=both&level=lower_secondary&metric_type=number_v0_850x600.svg,2,41,206691136,107418
children-not-in-school?sex=both&level=lower_secondary&metric_type=rate,WorldMap,,,9457caebca3642969f26be9238ed178a,children-not-in-school?sex=both&level=lower_secondary&metric_type=rate_v0_850x600.svg,1,36,231556432,114360
children-not-in-school?sex=both&level=pre_primary&metric_type=number,WorldMap,,,284273aa5d12786a010b0e9888decef5,children-not-in-school?sex=both&level=pre_primary&metric_type=number_v0_850x600.svg,2,38,277617600,86651
children-not-in-school?sex=both&level=pre_primary&metric_type=rate,WorldMap,,,feed4e773a20e8603421caab169256dd,children-not-in-school?sex=both&level=pre_primary&metric_type=rate_v0_850x600.svg,3,92,288961272,96005
children-not-in-school?sex=both&level=primary&metric_type=number,WorldMap,,,fa8661abd72ec983e979521605489de2,children-not-in-school?sex=both&level=primary&metric_type=number_v0_850x600.svg,6,74,281607648,151015
children-not-in-school?sex=both&level=primary&metric_type=rate,WorldMap,,,6073efb3382daba7a40b1f5595348b5c,children-not-in-school?sex=both&level=primary&metric_type=rate_v0_850x600.svg,2,33,238103592,160283
children-not-in-school?sex=both&level=upper_secondary&metric_type=number,WorldMap,,,40128b02412bf0c17596751a96d48c5f,children-not-in-school?sex=both&level=upper_secondary&metric_type=number_v0_850x600.svg,5,60,282362368,105965
children-not-in-school?sex=both&level=upper_secondary&metric_type=rate,WorldMap,,,db710cde509ea7d065de949022041be7,children-not-in-school?sex=both&level=upper_secondary&metric_type=rate_v0_850x600.svg,2,31,256861792,112930
children-not-in-school?sex=female&level=level_side_by_side&metric_type=number,StackedArea,,,87495eecf777ac46dba3dd4a49714fad,children-not-in-school?sex=female&level=level_side_by_side&metric_type=number_v0_850x600.svg,16,56,245197864,386292
children-not-in-school?sex=female&level=level_side_by_side&metric_type=rate,LineChart,,,141e3fdd95777a85d80f5a163dd085b9,children-not-in-school?sex=female&level=level_side_by_side&metric_type=rate_v0_850x600.svg,10,40,281102392,417643
children-not-in-school?sex=female&level=lower_secondary&metric_type=number,WorldMap,,,42586d3f0dffad2ae4875793ccf94f9d,children-not-in-school?sex=female&level=lower_secondary&metric_type=number_v0_850x600.svg,2,33,318694736,87342
children-not-in-school?sex=female&level=lower_secondary&metric_type=rate,WorldMap,,,06760920f71c3a09b2efcdd42e41fe10,children-not-in-school?sex=female&level=lower_secondary&metric_type=rate_v0_850x600.svg,2,43,270225416,93777
children-not-in-school?sex=female&level=pre_primary&metric_type=number,WorldMap,,,5c9e651b197ab7f531355f0794ae2c00,children-not-in-school?sex=female&level=pre_primary&metric_type=number_v0_850x600.svg,2,23,278998200,82295
children-not-in-school?sex=female&level=pre_primary&metric_type=rate,WorldMap,,,209063b298cb20dc19fbedebf20494d4,children-not-in-school?sex=female&level=pre_primary&metric_type=rate_v0_850x600.svg,2,38,270140448,91359
children-not-in-school?sex=female&level=primary&metric_type=number,WorldMap,,,21270bbad4b570880f685039e32f13d4,children-not-in-school?sex=female&level=primary&metric_type=number_v0_850x600.svg,4,34,318091776,118047
