viewId,chartType,queryStr,resolvedQueryStr,md5,svgFilename,durationReceiveData,durationTotal,heapUsed,totalDataFileSize
5-year-survival-rate-of-cancers-among-female-patients-in-england,DiscreteBar,,,a87df0f850387e37db3204fbe4f3081d,5-year-survival-rate-of-cancers-among-female-patients-in-england_v15_850x600.svg,5,45,233079192,8346
above-ground-biomass-in-forest-per-hectare,WorldMap,,,a36ef4c6a5faf07c582d7eef36841bc9,above-ground-biomass-in-forest-per-hectare_v19_850x600.svg,7,96,267768000,52668
above-or-below-extreme-poverty-line-world-bank,StackedArea,,,344969e00750964aa0c602683989a50f,above-or-below-extreme-poverty-line-world-bank_v41_850x600.svg,13,104,217097408,181731
abs-change-energy-consumption,WorldMap,,,e7cf5b557603687e345aa46246e9a0ea,abs-change-energy-consumption_v27_850x600.svg,10,165,212672096,450094
absolute-change-co2,WorldMap,,,258fcfde5ad2ca03cacfd1bf3562ab5f,absolute-change-co2_v29_850x600.svg,10,171,246160856,838887
absolute-gains-in-mean-female-height,WorldMap,,,cf80db7c6e37ec47bebb700f23afcaeb,absolute-gains-in-mean-female-height_v13_850x600.svg,9,118,265437040,6921
absolute-number-of-deaths-from-ambient-particulate-air-pollution,LineChart,,,67c2c2581c58640df2583388e7be1c42,absolute-number-of-deaths-from-ambient-particulate-air-pollution_v5_850x600.svg,2,25,260593776,29854
absolute-number-of-deaths-from-household-air-pollution,WorldMap,,,a356d8b3a1337207a314f1ea7f9f2598,absolute-number-of-deaths-from-household-air-pollution_v24_850x600.svg,4,109,242312016,259527
absolute-number-of-deaths-from-outdoor-air-pollution,WorldMap,,,082d1fd878dbb9288d05027e7f5d56b9,absolute-number-of-deaths-from-outdoor-air-pollution_v21_850x600.svg,3,93,277809560,259076
academic-freedom-index,WorldMap,,,15666fef4e3a47eedc499c637ee78582,academic-freedom-index_v15_850x600.svg,27,89,286776264,578060
acceptability-of-uk-farming-practices,StackedDiscreteBar,,,2e9978c2822819a140025900283804e1,acceptability-of-uk-farming-practices_v14_850x600.svg,2,22,230937520,998
access-drinking-water-stacked,StackedDiscreteBar,,,affca9105ab8e1f8932447e5165fbbb4,access-drinking-water-stacked_v19_850x600.svg,46,99,259094864,859851
access-to-basic-services,LineChart,,,30661ed61591e80ffaf83d41deb241e3,access-to-basic-services_v21_850x600.svg,30,59,232444448,692861
access-to-clean-fuels-and-technologies-for-cooking,WorldMap,,,5c8285fab455f69a48446c6a40cdf986,access-to-clean-fuels-and-technologies-for-cooking_v26_850x600.svg,4,35,303271480,144171
access-to-clean-fuels-and-technologies-for-cooking-vs-per-capita-energy-consumption,ScatterPlot,,,ada6b2741100bf1dbbf83bc75e83b554,access-to-clean-fuels-and-technologies-for-cooking-vs-per-capita-energy-consumption_v39_850x600.svg,129,353,358616536,2357659
access-to-clean-fuels-for-cooking-vs-gdp-per-capita,ScatterPlot,,,f3476c6f4b5d1088f2aa6e98f3f45d8a,access-to-clean-fuels-for-cooking-vs-gdp-per-capita_v37_850x600.svg,148,494,337266240,2227116
access-to-electricity-urban-vs-rural,ScatterPlot,,,f7dd99e76b15886da1687db432e4c038,access-to-electricity-urban-vs-rural_v28_850x600.svg,24,157,325086544,393514
access-to-electricity-vs-gdp-per-capita,ScatterPlot,,,6c0ffbcce2d587aade4f82893578a41d,access-to-electricity-vs-gdp-per-capita_v45_850x600.svg,24,146,326010104,448654
access-to-justice-men-row,WorldMap,,,f23cfc53107f80f6052e108048b6e862,access-to-justice-men-row_v65_850x600.svg,8,74,299724864,1660502
access-to-justice-women-row,WorldMap,,,b1b537bf1f6baa591c779366e8b178e5,access-to-justice-women-row_v70_850x600.svg,11,75,244439072,1659826
access-to-sexual-health-care-and-education,WorldMap,,,de81acf69def46d42a01bf19e7bf14c4,access-to-sexual-health-care-and-education_v22_850x600.svg,5,34,254516880,3496
